address,area,can_order_via_zomato,cost_for_two,cuisine,delivery_reviews,dining_reviews,location,rating,res_link,rest_name
" 40, Guru Kripa Building, Road 24, Near SIES College, Sion, Mumbai",Sion,No,Rs. 300,"Fast Food,, ,Street Food,, ,South Indian,, ,North Indian","20,9",4043,,"4.5,4.1",https://www.zomato.com/mumbai/guru-kripa-sion,"Guru Kripa
                                    "
" Shop 4 - 5, 27C/06, Apana Ghar, Unit 7, Shiv Sadan Building, 1st Cross Lane, Swami Samartha Nagar, Andheri Lokhandwala, Andheri West","Andheri Lokhandwala, Andheri West",Yes,Rs. 700,"North Indian,, ,Chinese,, ,Mughlai,, ,Rolls,, ,Biryani,, ,Fast Food,, ,Desserts,, ,Beverages","98,8",3508,,"4.0,3.9",https://www.zomato.com/mumbai/yasins-food-inn-andheri-lokhandwala,"Yasin's Food Inn
                                    "
" Shop 1, 2, 3, Mangal Arambh, Opposite Kora Kendra Garden, Kora Kendra Hall RM Bhattad Road, Vivekanand Nagar, Borivali West, Mumbai",Borivali West,No,Rs. 900,"Bakery,, ,Desserts,, ,Fast Food,, ,Beverages","3,422",419,,"4.2,4.5",https://www.zomato.com/mumbai/theobroma-borivali-west,"Theobroma
                                    "
" Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace, Malad West, Mumbai",Malad West,No,Rs. 800,"Pizza,, ,Fast Food","4,074",8915,,"4.7,4.2",https://www.zomato.com/mumbai/joeys-pizza-malad-west,"Joey's Pizza
                                    "
" Vazir Building, Shalimar Corner, Bhendi Bazaar, Sandhurst Road, Mohammad Ali Road, Mumbai",Mohammad Ali Road,No,Rs. 700,"North Indian,, ,Chinese,, ,Mughlai,, ,Fast Food","8,862",2717,,"4.2,3.8",https://www.zomato.com/mumbai/shalimar-mohammad-ali-road,"Shalimar
                                    "
" Ground Floor, Kenilworth Mall, Near National College, Linking Road, Bandra West, Mumbai","Kenilworth Mall, Linking Road, Bandra West",No,Rs. 450,"Burger,, ,Fast Food,, ,Finger Food,, ,Beverages","20,8",1024,,"2.9,3.5",https://www.zomato.com/mumbai/kfc-linking-road-bandra-west,"KFC
                                    "
" Near Heera Panna Mall, Link Road, Oshiwara, Andheri West, Mumbai","Oshiwara, Andheri West",No,Rs. 600,"North Indian,, ,Mughlai,, ,Chinese,, ,Biryani,, ,Fast Food,, ,Desserts","87,5",3524,,"4.1,3.9",https://www.zomato.com/mumbai/cafe-safar-oshiwara,"Cafe Safar
                                    "
" A 1-3, Ground Floor, Laxmi Building, Clare Road, Byculla, Mumbai",Byculla,No,Rs. 450,"Desserts,, ,Bakery,, ,Fast Food,, ,Beverages","6,563",326,,"3.9,4.2",https://www.zomato.com/mumbai/deliure-the-eatrium-byculla,"Deliure & The Eatrium
                                    "
" Shop 3, Ambika Apartments, Mahakali Caves Road, Mahakali, Mumbai",Mahakali,No,Rs. 200,"Mithai,, ,Street Food","17,7",538,,"4.3,4.5",https://www.zomato.com/mumbai/gulatis-1-mahakali,"Gulati's
                                    "
" 534/536, Dhobitalao, Lohar Chawl, Near Metro Theatre, Kalbadevi, Mumbai",Kalbadevi,No,Rs. 800,"Mughlai,, ,North Indian,, ,Chinese,, ,Seafood","4,586",1007,,"4.0,4.0",https://www.zomato.com/mumbai/mao-family-restaurant-kalbadevi,"Mao Family Restaurant
                                    "
" Shop 41, Building 3, Poonam Estate Cluster 2, Shanti Park Layout, Opposite Surya Shopping Center, Mira Road, Mumbai",Mira Road,No,Rs. 400,"Bakery,, ,Desserts",486,,,4.4,https://www.zomato.com/mumbai/cake-nation-mira-road,"Cake Nation
                                    "
" 5, Alexandra Terrace, Dr BA Road, Near Gloria Church, Rani Baug, Byculla East, Byculla, Mumbai",Byculla,Yes,"Rs. 1,500","Mughlai,, ,North Indian,, ,Chinese,, ,Biryani","15,5",3422,,"4.3,3.8",https://www.zomato.com/mumbai/persian-darbar-byculla,"Persian Darbar
                                    "
" Guru Kripa Building, Near SIES College, Road 24, Sion, Mumbai",Sion,No,Rs. 100,Street Food,"3,143",196,,"3.9,4.1",https://www.zomato.com/mumbai/a1-samosa-sion,"A1 Samosa
                                    "
" Junction Of SV Road & Hill Road, Hill Road, Bandra West, Mumbai","Hill Road, Bandra West",Yes,"Rs. 1,000","Mughlai,, ,North Indian,, ,Chinese,, ,Fast Food,, ,Desserts",31,3266,,"3.9,3.9",https://www.zomato.com/mumbai/lucky-restaurant-hill-road-bandra-west,"Lucky Restaurant
                                    "
" Near Bhandup, Sonapur Bus Stop, LBS Marg, Bhandup West, Bhandup, Mumbai",Bhandup,No,Rs. 500,"Chinese,, ,North Indian,, ,Mughlai","10,8",1227,,"4.1,3.9",https://www.zomato.com/mumbai/cafe-maaz-bhandup,"Cafe Maaz
                                    "
" 28 B, Sunrise Apartment, Swami Samarth Nagar, Andheri Lokhandwala, Andheri West","Andheri Lokhandwala, Andheri West",No,Rs. 400,"Burger,, ,Fast Food","14,6",925,,"3.7,3.6",https://www.zomato.com/mumbai/mcdonalds-andheri-lokhandwala,"McDonald's
                                    "
